County,MFSP,GWP
0,40.0217004981046,5.2904445003066884
1,39.91395356031126,5.210539423672552
2,40.11344329566682,5.358480909137452
3,40.2574417903906,5.465418846795912
4,39.965419336746784,5.248706407882791
5,39.80107934390332,5.126831950175895
6,40.051939347534365,5.312869580649545
7,39.942450323630354,5.231672587122152
8,40.06965243698581,5.326005613490456
9,40.09343623323807,5.343643699803765
10,40.07814009939306,5.332300029535533
11,40.05963164992091,5.3185742101658375
12,40.10864805472164,5.354924736951807
13,40.053217963474985,5.313817806384796
14,39.84353919871226,5.15832015998615
15,39.788924100651364,5.117817644142198
16,40.10288563387136,5.350651285170511
17,40.09218194972605,5.3427134744212035
18,40.08779027336092,5.339456621710013
19,40.19210747731836,5.416861975782462
20,40.18679128182973,5.412910951940774
21,39.97519753024425,5.255957899682466
22,39.85031729986032,5.163346767053307
23,40.01667757083757,5.286719462517139
24,40.094490750102224,5.344425727252032
25,40.115672427834184,5.360133990994508
26,40.24362759072825,5.455152029981677
27,40.097382695096904,5.346570308539028
28,39.96462346943379,5.248116175854105
29,40.104348675060336,5.351736354939105
30,40.14079481228936,5.378764765347761
31,40.25593240284871,5.464297060063467
32,40.10854283464763,5.354846660905285
33,40.10154683788621,5.3496584275554895
34,39.96655420173392,5.2495479856847425
35,39.91600730220191,5.212062484360917
36,40.09706295529611,5.346333259968464
37,39.87538657076777,5.181938126318212
38,40.018672451120956,5.288198898151906
39,40.029085790250605,5.295921407184205
40,39.88109991800861,5.186175146695324
41,39.78674870786365,5.116204390967982
42,40.01186091469455,5.2831474132112115
43,39.879874231303134,5.185266185494823
44,40.1848717362994,5.4114843587329355
45,40.09196996037755,5.342556287904682
46,39.921288909744206,5.215979268628969
47,39.922534413243554,5.216902944567282
48,39.997830892767105,5.272742833912415
49,40.02644522253697,5.293963144406061
50,40.07749254314712,5.331819804648455
51,39.90346597450066,5.202761788785351
52,39.92743545085186,5.220537535404443
53,39.98453154161973,5.262879966445524
54,40.079032340159394,5.3329617084906715
55,40.09238610823109,5.342864867924743
56,39.94043159907507,5.23017553792535
57,40.03359477951872,5.299265269837239
58,40.115880083875545,5.3602880081679904
59,40.626563207882626,5.739752212940106
60,40.015276060446666,5.285680149206881
61,39.964787970038884,5.248238184788407
62,39.981498686880606,5.2606308269789634
63,39.904402540045936,5.203456377898745
64,39.90161189122473,5.201386821067828
65,40.10881810585644,5.355050818333504
66,40.354296752727606,5.537402066037173
67,40.05808497037604,5.31742721489186
68,39.942716305258244,5.23186987178005
69,39.95114534689175,5.238120814848692
70,40.06383783353328,5.321693481006464
71,40.19781154342409,5.421101306630929
72,39.93049439711258,5.222806047155451
73,40.24138917310634,5.453488475883054
74,40.345748400559316,5.5310488686865025
75,40.071604028808444,5.327452902787184
76,40.03775777144205,5.302352521974244
77,39.98413732052353,5.262587673366971
78,40.01034594198534,5.282023937614263
79,40.1605529678488,5.393417369998024
80,39.99549948104239,5.271013853405185
81,39.86939557180758,5.177495205074147
82,39.96144507910653,5.245759058594663
83,40.410746628420405,5.57935601784939
84,40.06990258857461,5.326191149220435
85,39.8672983151724,5.175939944799968
86,40.101926981105336,5.349940370228448
87,40.099759145022,5.348332699645187
88,40.06933612396566,5.325771059594167
89,40.22224860815197,5.439263048186065
90,40.05564150095839,5.315615090327233
91,39.96182388372533,5.246039979670577
92,40.17761818439165,5.4060934363371915
93,40.049233818628366,5.310863153019865
94,40.05603357919173,5.31590588323646
95,40.10488929046835,5.352137207790842
96,40.224710377306835,5.441092658704599
97,39.93807753169395,5.228429711639696
98,39.99210968156796,5.268499930459472
