County,Yield_Mg_hay
1,17.80101585
2,18.29170938
3,17.40349532
4,16.81414236
5,18.05399662
6,18.83562998
7,17.66799989
8,18.15931922
9,17.59100204
10,17.48866456
11,17.55434397
12,17.63447922
13,17.42383279
14,17.66241925
15,18.62727006
16,18.89613943
17,17.44833521
18,17.49403177
19,17.5128502
20,17.07651688
21,17.09822677
22,18.00952933
23,18.59443434
24,17.82330514
25,17.48415472
26,17.39405733
27,16.86894414
28,17.4717987
29,18.05762557
30,17.44210768
31,17.28839438
32,16.82011286
33,17.42427958
34,17.45403778
35,18.04882445
36,18.2821036
37,17.47316395
38,18.47398854
39,17.81444616
40,17.7683446
41,18.44675666
42,18.90700969
43,17.84473159
44,18.45259196
45,17.10607924
46,17.49493922
47,18.25744669
48,18.25164181
49,17.90743745
50,17.78001223
51,17.55713537
52,18.34091982
53,18.22883549
54,17.96728587
55,17.55049927
56,17.49315793
57,18.1686347
58,17.74845651
59,17.39317865
60,15.47115189
61,17.82953432
62,18.05687537
63,17.98099008
64,18.33651445
65,18.34964721
66,17.42311076
67,16.43969003
68,17.64120895
69,18.15809255
70,18.11930465
71,17.61620371
72,17.05328426
73,18.21462996
74,16.87785773
75,16.47206657
76,17.5825596
77,17.73013402
78,17.96906601
79,17.85148146
80,17.20619054
81,17.9179002
82,18.5026303
83,18.07213277
84,16.22904276
85,17.58991945
86,18.51267786
87,17.45241819
88,17.46165823
89,17.59237115
90,16.95446367
91,17.65185116
92,18.07040256
93,17.13581728
94,17.67982006
95,17.65014265
96,17.43980764
97,16.94457203
98,18.17950971
99,17.93313454
